quantidade_de_pedidos,periodo,categoria
41,01-2017,bebes
11,01-2017,eletronicos
26,01-2017,telefonia
58,01-2017,ferramentas_jardim
28,01-2017,utilidades_domesticas
182,01-2017,moveis_decoracao
31,01-2017,informatica_acessorios
34,01-2017,automotivo
48,01-2017,cama_mesa_banho
80,01-2017,esporte_lazer
23,01-2017,consoles_games
6,01-2017,market_place
35,01-2017,fashion_bolsas_e_acessorios
85,01-2017,beleza_saude
15,01-2017,pet_shop
40,01-2017,cool_stuff
11,01-2017,relogios_presentes
13,01-2017,nao catalogado
8,01-2017,eletrodomesticos_2
6,01-2017,eletroportateis
43,01-2017,brinquedos
1,01-2017,construcao_ferramentas_construcao
2,01-2017,alimentos
22,01-2017,telefonia_fixa
2,01-2017,fashion_underwear_e_moda_praia
1,01-2017,moveis_cozinha_area_de_servico_jantar_e_jardim
4,01-2017,climatizacao
10,01-2017,moveis_escritorio
1,01-2017,pcs
1,01-2017,fashion_calcados
34,01-2017,perfumaria
5,01-2017,malas_acessorios
2,01-2017,fashion_roupa_feminina
2,01-2017,casa_conforto_2
3,01-2017,agro_industria_e_comercio
10,01-2017,moveis_sala
14,01-2017,papelaria
2,01-2017,livros_interesse_geral
8,01-2017,moveis_quarto
1,01-2017,fashion_roupa_masculina
1,01-2017,instrumentos_musicais
2,01-2017,musica
2,01-2017,dvds_blu_ray
1,01-2017,seguros_e_servicos
359,01-2018,utilidades_domesticas
45,01-2018,livros_interesse_geral
372,01-2018,telefonia
229,01-2018,perfumaria
351,01-2018,eletronicos
612,01-2018,moveis_decoracao
208,01-2018,nao catalogado
42,01-2018,casa_construcao
628,01-2018,beleza_saude
654,01-2018,esporte_lazer
268,01-2018,automotivo
848,01-2018,cama_mesa_banho
28,01-2018,eletrodomesticos
90,01-2018,pet_shop
240,01-2018,ferramentas_jardim
53,01-2018,instrumentos_musicais
707,01-2018,informatica_acessorios
54,01-2018,consoles_games
17,01-2018,livros_tecnicos
18,01-2018,agro_industria_e_comercio
165,01-2018,brinquedos
5,01-2018,fraldas_higiene
300,01-2018,cool_stuff
223,01-2018,bebes
8,01-2018,construcao_ferramentas_ferramentas
370,01-2018,relogios_presentes
397,01-2018,papelaria
125,01-2018,fashion_bolsas_e_acessorios
14,01-2018,market_place
55,01-2018,eletroportateis
52,01-2018,bebidas
145,01-2018,moveis_escritorio
20,01-2018,alimentos
3,01-2018,tablets_impressao_imagem
48,01-2018,construcao_ferramentas_construcao
7,01-2018,construcao_ferramentas_iluminacao
24,01-2018,construcao_ferramentas_jardim
128,01-2018,malas_acessorios
8,01-2018,sinalizacao_e_seguranca
19,01-2018,industria_comercio_e_negocios
1,01-2018,la_cuisine
19,01-2018,artes
11,01-2018,construcao_ferramentas_seguranca
26,01-2018,audio
29,01-2018,climatizacao
5,01-2018,moveis_quarto
13,01-2018,eletrodomesticos_2
18,01-2018,casa_conforto
9,01-2018,moveis_colchao_e_estofado
21,01-2018,moveis_cozinha_area_de_servico_jantar_e_jardim
11,01-2018,alimentos_bebidas
6,01-2018,livros_importados
8,01-2018,fashion_underwear_e_moda_praia
6,01-2018,fashion_roupa_masculina
10,01-2018,telefonia_fixa
12,01-2018,pcs
22,01-2018,moveis_sala
10,01-2018,artigos_de_natal
10,01-2018,flores
2,01-2018,fashion_esporte
3,01-2018,fashion_roupa_feminina
9,01-2018,fashion_calcados
2,01-2018,dvds_blu_ray
2,01-2018,cine_foto
2,01-2018,artigos_de_festas
1,01-2018,portateis_casa_forno_e_cafe
1,01-2018,musica
81,02-2017,utilidades_domesticas
166,02-2017,beleza_saude
86,02-2017,automotivo
22,02-2017,market_place
165,02-2017,cama_mesa_banho
111,02-2017,telefonia
156,02-2017,esporte_lazer
22,02-2017,telefonia_fixa
5,02-2017,audio
106,02-2017,informatica_acessorios
34,02-2017,bebes
58,02-2017,nao catalogado
40,02-2017,pet_shop
28,02-2017,eletroportateis
70,02-2017,cool_stuff
72,02-2017,ferramentas_jardim
37,02-2017,relogios_presentes
39,02-2017,fashion_bolsas_e_acessorios
19,02-2017,eletronicos
18,02-2017,consoles_games
266,02-2017,moveis_decoracao
8,02-2017,fashion_underwear_e_moda_praia
51,02-2017,perfumaria
8,02-2017,livros_interesse_geral
67,02-2017,brinquedos
63,02-2017,moveis_escritorio
1,02-2017,moveis_quarto
12,02-2017,climatizacao
9,02-2017,instrumentos_musicais
24,02-2017,moveis_sala
19,02-2017,papelaria
9,02-2017,alimentos
7,02-2017,eletrodomesticos
1,02-2017,cine_foto
2,02-2017,moveis_cozinha_area_de_servico_jantar_e_jardim
3,02-2017,fashion_calcados
1,02-2017,construcao_ferramentas_seguranca
1,02-2017,pcs
8,02-2017,tablets_impressao_imagem
1,02-2017,livros_importados
4,02-2017,fashion_roupa_feminina
1,02-2017,industria_comercio_e_negocios
21,02-2017,malas_acessorios
3,02-2017,casa_conforto
1,02-2017,livros_tecnicos
3,02-2017,construcao_ferramentas_construcao
7,02-2017,fashion_roupa_masculina
7,02-2017,agro_industria_e_comercio
1,02-2017,eletrodomesticos_2
2,02-2017,construcao_ferramentas_jardim
4,02-2017,casa_construcao
1,02-2017,dvds_blu_ray
651,02-2018,esporte_lazer
215,02-2018,perfumaria
319,02-2018,automotivo
159,02-2018,papelaria
332,02-2018,eletronicos
981,02-2018,informatica_acessorios
39,02-2018,casa_construcao
668,02-2018,beleza_saude
400,02-2018,utilidades_domesticas
29,02-2018,livros_interesse_geral
24,02-2018,alimentos_bebidas
146,02-2018,brinquedos
296,02-2018,ferramentas_jardim
15,02-2018,sinalizacao_e_seguranca
49,02-2018,eletrodomesticos
69,02-2018,construcao_ferramentas_construcao
359,02-2018,telefonia
107,02-2018,fashion_bolsas_e_acessorios
102,02-2018,pet_shop
52,02-2018,consoles_games
26,02-2018,moveis_sala
